State,Motivated,N_A,School,Working,Recreation,Chores,Systems,Planning,Absorb
2020-08-30,0,0,0,2.5608333333333335,0,0.6363888883333334,2.7925,0,0
2020-08-31,0,0,0,0,0,1.5630555549999998,1.760555555,0,0
2020-09-01,1.8983333333333334,0,0,1.7991666666666668,0,0,3.5786111099999998,0,0
2020-09-02,0,0.24138888833333333,0,2.3822222233333332,0,0.9538888883333334,0.6061111116666668,0,0
2020-09-03,1.9169444433333334,0,0,5.357222223333333,0,0,0.451944445,0,0
2020-09-04,0.10138888833333333,0,0,5.472777778333334,0,3.216944445,0,0,0
2020-09-05,1.1916666666666667,0,0,1.289444445,0,0.9677777783333333,0,0,0
2020-09-06,0,0.16388888833333332,0,4.291666668333333,0,0,0.6863888883333333,2.7777833333333333e-4,0
2020-09-07,0,0,0,0.5391666666666667,0,0.4,0.6436111116666666,0.14472222166666665,0
2020-09-08,0,0.08388888833333333,0,9.196388888333333,0,0,0,0,0
2020-09-09,0,0,0,0.8775,0,0,0,0.19499999999999998,0
2020-09-10,0,0,0,9.13888889,0,2.09888889,0,0.7427777783333334,0
2020-09-11,0,0,0,0,0,0,0,0.15166666666666667,0
2020-09-12,0,0,0,1.5055555550000002,0,0,0,1.0858333333333334,0
2020-09-13,0,0,0,7.114999998333333,0,0.12000000000000001,0,0,0
2020-09-14,0,0,0,0.6733333333333333,0,0.6719444433333334,0,0,0
2020-09-15,0,0,0,4.801666665,0,0,0,0.09444444499999999,0
2020-09-16,0,0,0,2.868055555,0,0,0.5761111116666666,0.026388888333333336,0
2020-09-17,0,0,0,1.5741666666666665,0,0,0.7075,0,0
2020-09-18,0,0,0,5.7780555583333335,0,0.5647222216666666,0,0.1525,0
2020-09-19,0,0,0,1.4825000000000002,0,0,0,0,0
2020-09-20,0,0,0,7.906944443333333,0,0,0,0,1.6986111116666665
2020-09-21,0,0,0,0,0,0.9916666683333333,0,0,2.7777833333333333e-4
2020-09-22,0,0.7041666666666666,0,3.168055556666667,0,0.08222222166666666,0.9986111116666667,0,0
2020-09-23,0,0,0,4.546388891666667,0,0,0,0.09833333333333334,0
